Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
“Il y a des gens qui augmentent votre solitude en venant la troubler.”,Sacha Guitry,,Solitude,,
“La poésie est une solitude... et nous sommes des moines qui échangent des silences.”,Anonyme,,Solitude,,
“La solitude est une tempête de silence qui arrache toutes nos branches mortes.”,Khalil Gibran,,Solitude,,
"“La solitude, c'est l'indépendance qui présente sa note.”",Elisabeth Carli,,Solitude,,
“Je n'aurais jamais cru être capable d'une si grande solitude.”,Jean Racine,Lettres,Solitude,,
“L’habitude veut que l’on agrège sa solitude à celle des autres.”,Philippe Le Guillou,,Solitude,,
"“La solitude, ça veut dire aussi : Ou la mort, ou le livre.”",Marguerite Duras,Ecrire,Solitude,,
"“La solitude est bonne, et les hommes ne valent pas un regret.”",George Sand,Indiana,Solitude,,
“Lire nous confirme que la solitude est un trésor.”,Sylvain Tesson,Dans les forêts de Sibérie,Solitude,,
“Ce qui est le plus pénible est l'absence totale de solitude.”,Claude Lévi-Strauss,,Solitude,,
"“J'ai besoin de silence, de calme et de solitude. ”",France Gall,"RTL, le 10 décembre 2014",Solitude,,
"“Si vous craignez la solitude, ne vous mariez pas !”",Anton Tchekhov,Calepin,Solitude,,
"“La nuit paraît courte dans le plaisir, les veilles semblent longues dans la solitude.”",Proverbe chinois,,Solitude,,
"“Dans le silence et la solitude, on n’entend plus que l’essentiel.”",Camille Belguise,Echos du silence,"Solitude, Silence",,
“Les gens qui ne peuvent pas supporter la solitude sont précisément les moins agréables des compagnons.”,Albert Guinon,,Solitude,,
"“Bien qu'on vante la solitude,. A la longue elle fait bâiller.”",Abraham Trembley,"Le lapin, la marmotte et la chatte",Solitude,,
"“Je suis une nature plutôt intime, qui préfère à tout autre plaisir la solitude à deux.”",Alphonse Allais,,Solitude,,
“La solitude rétablit aussi bien les harmonies du corps que celles de l'âme.”,Jacques-Henri Bernardin de Saint-Pierre,Paul et Virginie,Solitude,,
"“O intelligence, solitude en flammes,. qui conçoit tout et rien ne crée.”",José Gorostiza,Schèmes pour une ode tropicale,Solitude,,
“Le rossignol chante mieux dans la solitude des nuits qu'à la fenêtre des rois.”,P. Lorain,Le R.P. Lacordaire,Solitude,,
"“L'argent, ça libère un peu de la mort et de la solitude...”",Jean-Michel Wyl,L'exil,Solitude,,
“L’amour est une sorte de butoir contre la solitude.”,Woody Allen,Maris et femmes,Solitude,,
“L'insomnie est une amante au sexe carnassier... Les draps sont des suaires de solitude.”,Pierre Drachline,Autopsie à vif,"Solitude, Sexe",,
"“Si vous peuplez tout seul la solitude du monde, alors vous êtes un humoriste.”",André Frédérique,Non-lieu,Solitude,,
"“Synonyme de solitude, sinon de chasteté, le célibat n'a-t-il jamais satisfait personne...”",Hélène Ouvrard,La Fleur de peau,Solitude,,
“Une autre définition du bonheur : la solitude auprès d'un être cher.”,Charles Soucy,A travers la mer,Solitude,,
“L'isolement n'a jamais fait qu'une mauvaise solitude.”,Jean-Marie Poirier,Le prix du souvenir,Solitude,,
“Le mensonge est plus mortel encore que la solitude.”,Louise Maheux-Forcier,Une Forêt pour Zoé,Solitude,,
“Comme il serait préférable que nous comprenions que nous sommes solitude.”,Rainer Maria Rilke,Lettres à un jeune poète,Solitude,,
“Solitude. C'est le prix que l'on paie à se différencier des autres.”,Pauline Vaillancourt,Les poings sur les i.,Solitude,,
“La solitude est mauvaise pour l'homme. C'est un état de malheur.”,Yves Thériault,Les commettants de Caridad,Solitude,,
“L'homme est seul et son agressivité vient de cette solitude.”,Réjean Ducharme,L'avalée des avalés,Solitude,,
"“Le suicide, c'est épouser la solitude et vivre avec elle... in... fi... ni... ment !”",Thérèse B. Bayol,Tout est sous la peau,Solitude,,
“Par la solitude on s'évade quelquefois et parfois aussi on se retrouve.”,Paul Javor,Sa raison de vivre,Solitude,,
"“Aller vers la solitude des grandes villes, c'est aussi aller vers la mort.”",Jean Ethier-Blais,Les Pays étrangers,Solitude,,
“Poussée à bout la solitude n'est que la face voilée de la multitude.”,Victor-Lévy Beaulieu,Jos connaissant,Solitude,,
"“Il faut de la solitude pour lire agréablement, il en faut davantage pour écrire avec aise.”",Arsène Goyette,L'ineffaçable souillure,Solitude,,
